id,course_id,users_id,section_code,created_at,updated_at
18fc1650-9b1c-4ed8-b9be-9ca6ef0a3ddb,5f582c77-009b-4cc4-ab18-ba5d2ae2d835,da651daa-5f59-4908-bfb7-259a412cc43a,YPXZ6Q,2025-09-18 19:03:06.479,2025-09-18 19:03:06.479
719220a1-8385-4529-84c9-8211113ab188,f6d9dbd9-9620-480c-870d-767adc276b43,da651daa-5f59-4908-bfb7-259a412cc43a,T2D7SG,2025-09-18 19:03:06.521,2025-09-18 19:03:06.521
7bb3ddbf-4874-4964-8bd0-fd77c1bdad06,f6d9dbd9-9620-480c-870d-767adc276b43,950f1ba0-73e6-4cde-96ac-233dbbca40c9,PX3B1B,2025-09-18 19:03:06.727,2025-09-18 19:03:06.727
9b6df13b-5af1-402e-aec3-cb99587e9855,5f582c77-009b-4cc4-ab18-ba5d2ae2d835,950f1ba0-73e6-4cde-96ac-233dbbca40c9,QNM9Z1,2025-09-18 19:03:06.317,2025-09-18 19:03:06.317
a68518c0-e8c4-41a6-a841-9478a62b1bf5,cad65a1c-cc59-4e82-b4e9-bc23a94f2f65,a6dbbc23-130c-451d-9b3f-ab40d0de8f5b,J8SI62,2025-09-18 19:03:05.908,2025-09-18 19:03:05.908
b00225e0-38a8-4bb5-bb6e-3ebd52e46c2a,cad65a1c-cc59-4e82-b4e9-bc23a94f2f65,90badeb3-9b77-4cc6-a94d-83f54ac064e8,C5KK16,2025-09-18 19:03:06.215,2025-09-18 19:03:06.215
c6fb2a63-9fdb-4d74-a15e-a3adbb92ed99,5f582c77-009b-4cc4-ab18-ba5d2ae2d835,d0626640-d07b-41d6-90fd-9ddc57489295,7JIPP8,2025-09-18 19:03:06.42,2025-09-18 19:03:06.42
dacd2202-654b-4978-88c0-26c2a5762890,cad65a1c-cc59-4e82-b4e9-bc23a94f2f65,da651daa-5f59-4908-bfb7-259a412cc43a,7151HF,2025-09-18 19:03:06.112,2025-09-18 19:03:06.112
e509cb27-25c6-45e8-9ebc-f49b654ff212,f6d9dbd9-9620-480c-870d-767adc276b43,d0626640-d07b-41d6-90fd-9ddc57489295,X91H2P,2025-09-18 19:03:06.624,2025-09-18 19:03:06.624
f6ca419a-7a67-4aac-b7df-f8c3ca482d79,f6d9dbd9-9620-480c-870d-767adc276b43,55963c19-c0cd-4861-bed4-7392a569b0e2,9YYUVW,2025-09-18 19:03:06.83,2025-09-18 19:03:06.83
